,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
398,2008,5,1,0,1.271,122.091,84.21522909276999,10083.0,0.0
400,2009,0,2,0,34.185,70.07600000000001,83.9158074104016,3331.0,0.0
401,2009,3,0,0,43.236,80.893,83.9158074104016,4549.0,0.0
403,2009,5,1,0,-0.414,132.885,83.9158074104016,4255.0,0.0
404,2009,5,1,0,3.886,126.387,83.9158074104016,3049.0,0.0
411,2008,9,2,0,30.639,67.351,84.21522909276999,75486.0,0.0
413,2009,5,1,0,-8.207,118.631,83.9158074104016,2502993.0,0.0
414,2009,5,1,0,-7.782,107.297,83.9158074104016,339920.0,2.0
415,2009,2,2,0,-15.489,-172.095,83.9158074104016,23.0,2.0
416,2009,3,0,0,25.632,101.095,83.9158074104016,65337.0,2.0
419,2009,5,1,0,-0.72,99.867,83.9158074104016,1512.0,0.0
422,2010,0,2,0,35.633,67.658,85.2920606019027,1081.0,0.0
423,2010,3,0,0,25.558000000000003,105.804,85.2920606019027,17.0,0.0
424,2010,5,1,0,-2.174,136.543,85.2920606019027,4617.0,0.0
427,2010,3,0,0,30.268,105.668,85.2920606019027,10516.0,1.0
428,2010,3,0,0,25.523000000000003,101.903,85.2920606019027,50011.0,1.0
429,2010,3,0,0,33.165,96.548,85.2920606019027,114968.0,
430,2010,3,0,0,27.197,103.005,85.2920606019027,5014.0,
437,2011,4,2,0,27.73,88.155,87.98460291884459,575312.0,
438,2011,2,2,0,27.73,88.155,87.98460291884459,20017.0,
439,2011,3,0,0,24.693,97.943,87.98460291884459,64501.0,
440,2011,3,0,0,24.727,97.957,87.98460291884459,5465.0,
441,2011,3,0,0,20.687,99.822,87.98460291884459,9508.0,
442,2011,3,0,0,27.73,88.155,87.98460291884459,5143.0,
445,2011,7,1,0,20.687,99.822,87.98460291884459,21351.0,
446,2011,8,2,0,27.73,88.155,87.98460291884459,167956.0,
447,2011,9,2,0,28.777,63.951,87.98460291884459,1002.0,
448,2011,10,1,0,20.687,99.822,87.98460291884459,17.0,
449,2011,3,0,0,43.015,88.24700000000001,87.98460291884459,258.0,
451,2011,3,0,0,43.648,82.43700000000003,87.98460291884459,143000.0,
452,2011,3,0,0,39.955,77.028,87.98460291884459,1616.0,
454,2011,5,1,0,2.965,97.893,87.98460291884459,10.0,
456,2012,0,2,0,36.023,69.351,89.8052929320648,310.0,
458,2012,3,0,0,27.767,100.781,89.8052929320648,34238.0,
459,2012,3,0,0,43.433,84.7,89.8052929320648,155052.0,
460,2012,3,0,0,27.575,103.983,89.8052929320648,744902.0,
461,2012,3,0,0,32.978,119.593,89.8052929320648,2611.0,
