,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Region,Continent,Latitude,Longitude,CPI,total_affected
213,1995,Natural,Geophysical,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,21.966,99.196,59.6044948945252,0.0
214,1996,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,0.7290000000000001,119.931,61.3516297283817,13009.0
215,1996,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.1,137.15,61.3516297283817,25804.0
219,1997,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,29.976,68.208,62.7858352045064,10150.0
220,1997,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,4.0,119.4,62.7858352045064,3125.0
221,1997,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,23.083,80.041,62.7858352045064,156543.0
226,1995,Natural,Geophysical,Earthquake,Ground movement,Thailand,South-Eastern Asia,Asia,21.966,99.196,59.6044948945252,0.0
228,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.308000000000003,101.029,63.7604552373995,337446.0
229,1998,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.479,71.086,63.7604552373995,0.0
230,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.373,104.021,63.7604552373995,107084.0
231,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.977,76.731,63.7604552373995,2000.0
232,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.388000000000005,78.843,63.7604552373995,25028.0
233,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.66,77.343,63.7604552373995,111865.0
234,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.213,101.057,63.7604552373995,3528.0
235,1999,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,34.259,69.36399999999999,65.1555468615283,92030.0
236,1999,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,21.544,91.895,65.1555468615283,15206.0
237,1999,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,41.131,114.65799999999999,65.1555468615283,16003.0
238,1999,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.899,113.98299999999999,65.1555468615283,3020004.0
239,1999,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.459,122.889,65.1555468615283,800.0
241,2000,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,21.430999999999997,91.762,67.355758979313,1000.0
243,2000,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.607,101.06299999999999,67.355758979313,1855014.0
244,2000,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.263,103.79700000000001,67.355758979313,10303.0
245,2000,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.498000000000005,122.994,67.355758979313,62030.0
246,2000,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.012,103.791,67.355758979313,100.0
247,2000,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.826,102.194,67.355758979313,177612.0
248,2001,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.513,101.12899999999999,69.259339950271,300112.0
249,1998,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-2.0709999999999997,124.891,63.7604552373995,6481.0
251,1998,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.193999999999999,112.413,63.7604552373995,501.0
255,1999,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-6.845,105.555,65.1555468615283,16925.0
257,1999,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,30.511999999999997,79.403,65.1555468615283,477994.0
259,2000,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.646,102.102,67.355758979313,204817.0
260,2000,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.105,123.573,67.355758979313,52815.0
265,2000,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-6.675,106.845,67.355758979313,4124.0
266,2000,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-6.5489999999999995,105.63,67.355758979313,5500.0
267,2000,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.612,101.905,67.355758979313,3001.0
269,2001,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,23.419,70.232,69.259339950271,6341817.0
270,1998,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.479,71.086,63.7604552373995,612.0
272,2001,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,23.419,70.232,69.259339950271,914304.0
273,2001,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.424,70.881,69.259339950271,0.0
274,2001,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,35.169000000000004,69.389,69.259339950271,274.0
275,2002,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.429,70.438,70.3578189693375,3663.0
276,2002,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.062,69.315,70.3578189693375,92228.0
277,2002,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,35.959,69.417,70.3578189693375,6200.0
278,2001,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.768,99.061,69.259339950271,150192.0
279,2001,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.689,101.00299999999999,69.259339950271,10607.0
280,2001,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.455,102.66,69.259339950271,25000.0
281,2001,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.316,100.648,69.259339950271,17221.0
291,2001,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-6.99,108.275,69.259339950271,12512.0
292,2001,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.68,102.56200000000001,69.259339950271,0.0
295,2002,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,13.036,93.068,70.3578189693375,202.0
296,2002,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.916,99.927,70.3578189693375,378.0
297,2002,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.736,97.443,70.3578189693375,65502.0
